texto,clase_bloque
--- Página 1 ---,OTROS
FILMARG S.A.C.,BLOQUE_EMISOR
R.U.C.20601607167,BLOQUE_EMISOR
VARIEDADDEEILTROSPARA.MAQUINARIAPESADA,OTROS
Factura Electrónica,BLOQUE_COMPROBANTE
INDUSTRIALMINERAAUTOMOTRIZYOTROS,OTROS
CALJOSE MARIA ARGUEDAS NRO01 A.H.MARTIRESDEL SUTEP,OTROS
S LIMA LIMA LOSOLIVOS,OTROS
F001-0083104,BLOQUE_COMPROBANTE
E-mail Ventas@filmarg.com/ tinanzas@filmarg.com Telf :531-8091 /531-2582/,OTROS
Entel998.276901/RPC963766272/RPM988460781,OTROS
DireCCiOn CALLOS ANGELES NRO 187URB LAS VEGAS LIMALIMA,OTROS
COMAS,OTROS
KOERUCTR,OTROS
FECHA,OTROS
EGUIAT,OTROS
ORDENDECOMPRA,OTROS
TIPO.DEMONEDA,OTROS
CONDICIONDEPAGO.,OTROS
25/06/2025,BLOQUE_FECHA
E.CONTADO,OTROS
20611758988,BLOQUE_RECEPTOR
VALOR DE VTA,OTROS
UND.,OTROS
PRECIO DE VTA,OTROS
CODIGOS,OTROS
DESCRIPCION/UBICACIóN,OTROS
CANT.,OTROS
IMPORTE,OTROS
UNIT.,OTROS
UNIT.,OTROS
P559000,OTROS
FILTROACEITEDONALDSON,OTROS
2.00,OTROS
UND,OTROS
93:22,OTROS
110.00,OTROS
220.00,OTROS
FILTRO SEPDE PETROLEO,OTROS
1.00,OTROS
OND,OTROS
122:88,OTROS
145.00,OTROS
145:00,OTROS
P552006,OTROS
WF2075,OTROS
2.00,OTROS
UND,OTROS
52.54,OTROS
62.00,OTROS
124:00,OTROS
FILTROREFRIGERANTE,OTROS
2:00,OTROS
UND,OTROS
1010.00,OTROS
FILTROAIRE PRIM,OTROS
427.97,OTROS
505.00,OTROS
P781098,OTROS
FILTRO-RACOR,OTROS
1:00,OTROS
UND,OTROS
46.61,OTROS
55.00,OTROS
55.00,OTROS
2020V30,OTROS
SONMILQUINIENTOSCINCUENTAY.CUATRO CON.00/100 SOLES,BLOQUE_MONEDA
1.316.95,BLOQUE_MONTOS
Estimado cliente,OTROS
0.00,OTROS
DATOS BANCARIOS SUNRO.DE RUC.AL MOMENTO DE REALIZAR EL PAGO,OTROS
00:0,OTROS
000,OTROS
ODCu,OTROS
Entidad.Financiera,OTROS
otal`IGV,OTROS
237.05,BLOQUE_MONTOS
BANCO.DECREDITO,OTROS
Solesat,BLOQUE_MONEDA
1912364739050,OTROS
porte.Total,OTROS
1.554:00,OTROS
BANCO DE CREDITO,OTROS
1912331276151,OTROS
00219100233127615155,OTROS
Dolares.Amer,OTROS
delaFactura'Electr,OTROS
Autorizado.mendiante.la.Resoluci6n delIntendenciaNro.0340050007579,OTROS
--- Página 1 ---,OTROS
"27/3/26,12:41",OTROS
.Factura Electronica- Impresion :.,BLOQUE_COMPROBANTE
FACTURA ELECTRONICA,BLOQUE_COMPROBANTE
DISTRIBUCIONES ANROPLAST S.A.C.,BLOQUE_EMISOR
RUC: 20614803941,BLOQUE_EMISOR
CAL.SEBASTIAN BARRANCA1715URB.SAN PABLO,OTROS
E001-165,BLOQUE_COMPROBANTE
LAVICTORIA-LIMA-LIMA,OTROS
Fecha de Emision,OTROS
27/03/2026,BLOQUE_FECHA
Forma de pago : Contado,OTROS
Senor(es),OTROS
GUTIERREZ ORTEGA KELLY,BLOQUE_RECEPTOR
SHARON,OTROS
RUC,OTROS
107043414967,BLOQUE_RECEPTOR
JR.HUMBOLDT 1501 INT.4,OTROS
STAND 4-GALERIA,OTROS
Direccion del Cliente,OTROS
RIVASPLATALIMA-LIMA-LA,OTROS
VICTORIA,OTROS
Tipo de Moneda,OTROS
:SOLES,BLOQUE_MONEDA
CANCELO EFECTIVO,OTROS
Observacion,OTROS
27/03/20265/183.00,BLOQUE_FECHA
Cantidad Unidad Medida,OTROS
Descripción,OTROS
Valor Unitario ICBPER,OTROS
5.00,OTROS
PAQUETE,OTROS
C-BLS PEBD 12X18X1.5 CR.VIRG.BB,OTROS
10.1694,OTROS
0.00,OTROS
5.00,OTROS
PAQUETE,OTROS
C-BLS PEBD 14X20X1.5 TRATADA COLOR,OTROS
8.47457,OTROS
0.00,OTROS
5.00,OTROS
PAQUETE,OTROS
C-BLS PEBD 12X17X1.5 TRATADA COLOR,OTROS
6.77966,OTROS
0.00,OTROS
1.00,BLOQUE_MONTOS
MILLARES,OTROS
C-BLS PEBD 8X12 BLCO,OTROS
15.2542,OTROS
0.00,OTROS
1.00,BLOQUE_MONTOS
PAQUETE,OTROS
C-BLS PEBD 14X20X1.5 PP TR.,OTROS
12.7118,OTROS
0.00,OTROS
Sub Total .,OTROS
S/ 155.08,BLOQUE_MONTOS
Ventas,OTROS
Anticipos :,OTROS
S/ 0.00,OTROS
Valor de Venta de,OTROS
S/0.00,OTROS
Descuentos :,OTROS
S/ 0.00,OTROS
Operaciones Gratuitas,OTROS
Valor Venta :,OTROS
S/ 155.08,BLOQUE_MONTOS
ISC :,OTROS
S/ 0.00,OTROS
IGV :,OTROS
S/ 27.92,BLOQUE_MONTOS
ICBPER :,OTROS
S/0.00,OTROS
SON: CIENTO 0CHENTA Y TRES Y 00/100 SOLES,BLOQUE_MONEDA
Otros Cargos :,OTROS
S/0.00,OTROS
8Q,OTROS
s/ 0.00,OTROS
03,OTROS
Monto de .,OTROS
S/ 0.00,OTROS
redondeo,OTROS
Importe Total :,OTROS
S/ 183.00,BLOQUE_MONTOS
"Esta es una representación impresa de la factura electrónica, generada en el Sistema de suNAT. Puede verificarla utilizando su",OTROS
clave SOL,OTROS
Escaneado con CamScanner,OTROS
.:: Factura Electronica - Impresion ::.,BLOQUE_COMPROBANTE
https://wwl.sunat.gob.pc/ol-ti-itconscpemype/consultar.do?actio...,OTROS
FACTURA ELECTRóNICA,BLOQUE_COMPROBANTE
MUNICIPALIDAD DE LA VICTORIA,BLOQUE_EMISOR
RUC:20131368071,BLOQUE_EMISOR
AV.IQUITOS500,OTROS
E001-3378,BLOQUE_COMPROBANTE
LA VICTORIA-LIMA-LIMA,OTROS
Forma de pago : Contado,OTROS
Fecha deEmision13/08/2025,BLOQUE_FECHA
GUTIERREZ ORTEGA SHERLY,BLOQUE_RECEPTOR
Senor(es),OTROS
: JEAN,OTROS
RUC,OTROS
: 10468988661,BLOQUE_RECEPTOR
-- PROLONGACION HUANUCO,OTROS
Dirección del,OTROS
1601INT.200 CENTR0,OTROS
Cliente,OTROS
COMERCIAL PARQUE CANEPA,OTROS
LIMA-LIMA-LA VICTORIA,OTROS
Tipo de Moneda,OTROS
:SOLES,BLOQUE_MONEDA
Observacion,OTROS
:,OTROS
Unidad,OTROS
Descripción,OTROS
Valor Unitario,OTROS
1.00UNIDAD,OTROS
1442.5169491525,OTROS
DEL CC PARQUE CANEPA.REF.RECIBO NRO065002261-2025,OTROS
Sub Total,OTROS
"S/ 1,442.52",BLOQUE_MONTOS
Ventas,OTROS
Anticipos :,OTROS
S/0.00,OTROS
Descuentos :,OTROS
S/0.00,OTROS
S/0.00,OTROS
Valor Venta :,OTROS
"S/1,442.52",BLOQUE_MONTOS
Valor de Venta de Operaciones Gratuitas :,OTROS
ISC :,OTROS
S/ 0.00,OTROS
IGV :,OTROS
S/259.65,OTROS
